run_id,env,algo,seed,learning_rate,n_steps,gamma,exploration_fraction,mean_reward,std_reward,timesteps,duration_s,status,error,timestamp
CartPole-v1__DQN__exploration_fraction=0.2_gamma=0.999_learning_rate=0.001__s1,CartPole-v1,DQN,1,0.001,,0.999,0.2,104.9,2.7731,150000,693.3,success,,2026-04-19T10:26:27
LunarLander-v3__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s0,LunarLander-v3,PPO,0,0.0001,512,0.99,,10.1054,118.9611,300000,1891.4,success,,2026-04-19T10:26:30
LunarLander-v3__PPO__gamma=0.99_learning_rate=0.0001_n_steps=512__s1,LunarLander-v3,PPO,1,0.0001,512,0.99,,-91.7031,53.477,300000,1891.3,success,,2026-04-19T10:26:32
LunarLander-v3__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s1,LunarLander-v3,PPO,1,0.0001,512,0.999,,-69.1957,27.0649,300000,1898.0,success,,2026-04-19T10:26:33
LunarLander-v3__PPO__gamma=0.999_learning_rate=0.0001_n_steps=512__s0,LunarLander-v3,PPO,0,0.0001,512,0.999,,-122.3327,40.5375,300000,1905.5,success,,2026-04-19T10:26:33
LunarLander-v3__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s0,LunarLander-v3,PPO,0,0.0001,2048,0.99,,-89.5312,42.9966,300000,1918.4,success,,2026-04-19T10:26:40
LunarLander-v3__PPO__gamma=0.99_learning_rate=0.0001_n_steps=2048__s1,LunarLander-v3,PPO,1,0.0001,2048,0.99,,81.5283,104.4021,300000,1935.5,success,,2026-04-19T10:29:15
LunarLander-v3__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s0,LunarLander-v3,PPO,0,0.0001,2048,0.999,,-55.3505,60.8513,300000,1937.2,success,,2026-04-19T10:29:19
LunarLander-v3__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s1,LunarLander-v3,PPO,1,0.0003,512,0.99,,-36.6445,93.7203,300000,1951.5,success,,2026-04-19T10:38:00
LunarLander-v3__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s0,LunarLander-v3,PPO,0,0.0003,512,0.999,,-124.303,28.8109,300000,1953.4,success,,2026-04-19T10:38:00
LunarLander-v3__PPO__gamma=0.99_learning_rate=0.0003_n_steps=512__s0,LunarLander-v3,PPO,0,0.0003,512,0.99,,-6.4187,142.4839,300000,1958.6,success,,2026-04-19T10:37:59
LunarLander-v3__PPO__gamma=0.999_learning_rate=0.0001_n_steps=2048__s1,LunarLander-v3,PPO,1,0.0001,2048,0.999,,-60.8351,35.7925,300000,1977.5,success,,2026-04-19T10:37:56
LunarLander-v3__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s1,LunarLander-v3,PPO,1,0.0003,2048,0.99,,170.2034,93.7608,300000,1932.3,success,,2026-04-19T10:58:12
LunarLander-v3__PPO__gamma=0.99_learning_rate=0.0003_n_steps=2048__s0,LunarLander-v3,PPO,0,0.0003,2048,0.99,,165.066,110.2049,300000,1940.8,success,,2026-04-19T10:58:03
LunarLander-v3__PPO__gamma=0.999_learning_rate=0.0003_n_steps=512__s1,LunarLander-v3,PPO,1,0.0003,512,0.999,,20.8663,88.9858,300000,1953.0,success,,2026-04-19T10:58:02
LunarLander-v3__PPO__gamma=0.999_learning_rate=0.0003_n_steps=2048__s0,LunarLander-v3,PPO,0,0.0003,2048,0.999,,60.4153,123.7726,300000,1945.8,success,,2026-04-19T10:58:19
LunarLander-v3__PPO__gamma=0.999_learning_rate=0.0003_n_steps=2048__s1,LunarLander-v3,PPO,1,0.0003,2048,0.999,,254.2467,21.2146,300000,1937.9,success,,2026-04-19T10:58:38
LunarLander-v3__PPO__gamma=0.99_learning_rate=0.001_n_steps=512__s0,LunarLander-v3,PPO,0,0.001,512,0.99,,241.015,23.4942,300000,1917.0,success,,2026-04-19T11:01:30
LunarLander-v3__PPO__gamma=0.99_learning_rate=0.001_n_steps=512__s1,LunarLander-v3,PPO,1,0.001,512,0.99,,61.7579,136.6041,300000,1922.0,success,,2026-04-19T11:01:36
LunarLander-v3__PPO__gamma=0.999_learning_rate=0.001_n_steps=512__s0,LunarLander-v3,PPO,0,0.001,512,0.999,,67.6113,129.8661,300000,1875.2,success,,2026-04-19T11:10:32
LunarLander-v3__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s0,LunarLander-v3,PPO,0,0.001,2048,0.99,,135.5797,121.4795,300000,1883.5,success,,2026-04-19T11:10:38
LunarLander-v3__PPO__gamma=0.999_learning_rate=0.001_n_steps=512__s1,LunarLander-v3,PPO,1,0.001,512,0.999,,67.6895,92.1828,300000,1898.8,success,,2026-04-19T11:10:34
LunarLander-v3__PPO__gamma=0.99_learning_rate=0.001_n_steps=2048__s1,LunarLander-v3,PPO,1,0.001,2048,0.99,,147.5708,68.7869,300000,1882.5,success,,2026-04-19T11:10:54
LunarLander-v3__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s0,LunarLander-v3,DQN,0,0.0001,,0.99,0.1,-61.0883,13.8403,300000,1507.0,success,,2026-04-19T11:30:35
LunarLander-v3__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0001__s1,LunarLander-v3,DQN,1,0.0001,,0.99,0.1,-50.1351,101.068,300000,1503.8,success,,2026-04-19T11:30:44
LunarLander-v3__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s0,LunarLander-v3,DQN,0,0.0001,,0.999,0.1,35.8072,100.0372,300000,1499.3,success,,2026-04-19T11:30:56
LunarLander-v3__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0001__s1,LunarLander-v3,DQN,1,0.0001,,0.999,0.1,-11.0168,80.5069,300000,1488.3,success,,2026-04-19T11:33:27
LunarLander-v3__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s0,LunarLander-v3,DQN,0,0.0001,,0.99,0.2,-25.4588,34.3328,300000,1482.3,success,,2026-04-19T11:33:38
LunarLander-v3__PPO__gamma=0.999_learning_rate=0.001_n_steps=2048__s1,LunarLander-v3,PPO,1,0.001,2048,0.999,,252.53,19.4382,300000,1737.5,success,,2026-04-19T11:30:24
LunarLander-v3__PPO__gamma=0.999_learning_rate=0.001_n_steps=2048__s0,LunarLander-v3,PPO,0,0.001,2048,0.999,,246.3414,27.2304,300000,1743.7,success,,2026-04-19T11:30:24
LunarLander-v3__DQN__exploration_fraction=0.2_gamma=0.99_learning_rate=0.0001__s1,LunarLander-v3,DQN,1,0.0001,,0.99,0.2,20.5524,115.3769,300000,1433.0,success,,2026-04-19T11:41:47
LunarLander-v3__DQN__exploration_fraction=0.2_gamma=0.999_learning_rate=0.0001__s0,LunarLander-v3,DQN,0,0.0001,,0.999,0.2,38.1279,123.4676,300000,1432.6,success,,2026-04-19T11:42:01
LunarLander-v3__DQN__exploration_fraction=0.2_gamma=0.999_learning_rate=0.0001__s1,LunarLander-v3,DQN,1,0.0001,,0.999,0.2,38.7363,118.9945,300000,1431.0,success,,2026-04-19T11:42:13
LunarLander-v3__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0003__s0,LunarLander-v3,DQN,0,0.0003,,0.99,0.1,-31.3387,80.3388,300000,1434.1,success,,2026-04-19T11:42:16
LunarLander-v3__DQN__exploration_fraction=0.1_gamma=0.99_learning_rate=0.0003__s1,LunarLander-v3,DQN,1,0.0003,,0.99,0.1,-71.8259,34.4543,300000,1409.3,success,,2026-04-19T11:55:42
LunarLander-v3__DQN__exploration_fraction=0.1_gamma=0.999_learning_rate=0.0003__s0,LunarLander-v3,DQN,0,0.0003,,0.999,0.1,-50.2791,15.1396,300000,1414.7,success,,2026-04-19T11:55:48
